m/z	retention_time	p-value	t-score	custom_id
760.58465	19.341	0	1.2378992111666667	P1
876.80088	23.952	1	-0.8384545656333332	P2
782.56882	18.116	1	-1.0897123420333332	P3
758.56897	18.518	1	0.8468190805	P4
806.56868	17.913	1	0.43621838225	P6
874.78481	23.42	1	-1.0464256277333335	P7
848.76963	23.348	1	-0.7697554764000001	P8
784.58393	19.02	0	1.7479533525833333	P9
810.59934	19.6	1	-0.4614812848833334	P10
902.81583	23.995	1	-0.6836489513833334	P11
812.61544	21.49	0	1.4829343801000001	P12
703.57457	16.649	1	-0.8879092041833334	P13
808.58384	18.354	1	-1.1103206417	P14
846.75373	22.872	1	-1.0361405493666667	P15
850.78588	23.923	1	-0.5158419930166667	P16
738.64643	16.871	1	0.5052901744166666	P17
764.52141	16.962	1	-0.9379444475666665	P18
872.76922	22.977	1	-1.19513370285	P19
900.80052	23.515	1	-1.0702419938	P20
732.55364	18.061	0	1.3683314948833332	P21
820.73836	22.798	1	-1.0822908981333335	P22
496.33969	10.5	1	-0.7736917713833333	P23
904.83199	24.673	1	0.015911783950000036	P24
832.58431	18.079	1	1.1116561719666667	P25
1520.165	19.408	1	1.02019886795	P26
756.55353	17.775	1	0.5967922426833333	P27
524.37105	11.862	1	-0.37254638190000006	P28
834.59966	19.173	1	0.9584837555666667	P29
768.55383	18.153	0	1.6839007607333332	P30
766.53753	17.304	0	1.5072212881666665	P31
638.57153	19.294	1	-0.38879269936666666	P32
740.52205	17.125	0	1.3108800407166665	P33
813.68382	23.413	1	0.11177490671666665	P34
862.78563	23.666	1	-0.6658078357333332	P35
904.59029	15.514	1	0.9415186672166667	P36
780.55264	17.858	1	0.6686342787166668	P37
734.56962	19.235	1	-0.5249612591666666	P38
822.75466	23.301	1	-0.6745751474833334	P39
844.73831	22.453	1	-1.1485364364833333	P40
930.84806	24.66	1	-0.21097574728333335	P41
534.52389	17.445	0	1.5122428909333334	P42
522.35572	10.769	1	-0.5860057772499999	P43
898.78507	23.098	1	-1.1482665124166667	P44
774.60121	21.321	1	0.7636339186166667	P45
804.55288	17.31	1	-0.9383870598999999	P46
790.53726	17.158	1	-1.1830957885666666	P47
818.72271	22.344	1	-1.0175561825166666	P48
746.60585	22.845	1	-0.29558527515	P49
730.53824	17.428	1	0.62939360315	P50
870.75379	22.606	0	-1.2291293015166667	P51
746.57037	18.905	1	1.14088804105	P52
890.81704	24.3	1	-0.13894500284999994	P53
544.33966	9.935	1	-1.2055091913666667	P54
878.81697	24.669	1	0.06195682086666666	P55
888.80117	23.721	1	-0.7523960155666666	P56
429.37233	15.204	0	-1.4378606817666668	P57
830.56865	17.588	0	1.3947245424833334	P58
429.37233	16.368	1	-0.31310533339999996	P59
612.55593	19.183	1	0.017602877833333336	P60
812.54346	16.714	1	0.2762021150833333	P61
627.53429	15.506	1	0.8678571488333333	P62
1565.13692	18.088	0	-1.2726619490666666	P63
1516.1338	18.476	1	0.17299410406666663	P64
1546.17871	19.186	1	0.44905813774999986	P65
610.54031	18.538	1	-0.7398184383833334	P66
568.33953	10.002	1	-1.00696430625	P68
926.81688	23.685	1	-1.0937620127666665	P69
552.53444	17.445	0	1.5271427678333334	P70
